Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
142,68.07469,67.63791,67.26001,66.25,66.19586,65.95254,65.06411
142.5,67.9536,67.54891,67.18017,66.26381,66.1576,66.0636,65.14423
143,67.85367,67.47053,67.15155,66.28696,66.09496,66.01197,65.155
143.5,67.74794,67.39069,67.08799,66.28875,66.04354,65.88829,65.19786
144,67.65481,67.30627,67.01182,66.22448,66.13043,66.01532,65.21731
144.5,67.58846,67.24656,66.96265,66.25488,66.12665,65.92966,65.22272
145,67.47563,67.17821,66.90875,66.23539,66.15441,65.93288,65.1181
145.5,67.39008,67.09518,66.84291,66.23893,66.11598,65.92862,65.00715
146,67.27381,67.02958,66.79221,66.16292,66.08377,65.92348,64.99995
146.5,67.22558,66.96828,66.7309,66.11629,66.02842,65.92204,64.98703
147,67.14796,66.9129,66.67208,66.09313,65.91214,65.72776,64.96341
147.5,67.03782,66.82431,66.60756,65.98933,65.8932,65.71869,64.88849
148,66.93456,66.74466,66.54672,65.9235,65.79939,65.65332,64.90708
148.5,66.86423,66.67594,66.47891,65.91329,65.74972,65.48666,64.87714
149,66.77697,66.59647,66.40448,65.76688,65.74439,65.3813,64.70063
149.5,66.68306,66.51929,66.32501,65.70396,65.7324,65.40693,64.68726
150,66.61395,66.42907,66.28272,65.69166,65.66963,65.39991,64.59533
150.5,66.52164,66.36681,66.17802,65.62506,65.60142,65.25667,64.51746
151,66.42869,66.2945,66.10685,65.55077,65.51498,65.09658,64.40162
151.5,66.37029,66.22095,66.0505,65.50649,65.36401,65.03875,64.29169
152,66.25416,66.15023,65.96648,65.41584,65.29102,65.01394,64.21593
152.5,66.16342,66.04481,65.89913,65.38977,65.18602,64.98374,64.15611
153,66.09792,65.97128,65.80586,65.3574,65.16398,64.96032,64.05167
153.5,66.01401,65.90801,65.7263,65.31235,65.16458,65.01461,63.96621
154,65.93412,65.81825,65.68494,65.26617,65.09752,64.93447,63.87204
154.5,65.83367,65.75863,65.59687,65.18782,65.06735,64.85153,63.75165
155,65.75913,65.68776,65.52439,65.16198,64.99838,64.86562,63.67302
155.5,65.68606,65.59771,65.46095,65.10952,64.98515,64.78103,63.58748
156,65.59146,65.53178,65.40052,65.02312,64.93958,64.68911,63.56577
156.5,65.51463,65.44531,65.3051,64.95015,64.80696,64.64276,63.55911
157,65.43982,65.36017,65.22914,64.88347,64.74968,64.56644,63.49103
157.5,65.3713,65.29464,65.17599,64.81433,64.71564,64.5347,63.39293
158,65.2853,65.22033,65.10099,64.7687,64.68608,64.4831,63.29655
158.5,65.19157,65.13508,65.02583,64.68082,64.62505,64.2768,63.2045
159,65.12181,65.06142,64.95056,64.5734,64.54034,64.27149,63.15351
159.5,65.04328,64.99551,64.87317,64.54166,64.48083,64.20395,63.1904
160,64.96519,64.93348,64.79944,64.42901,64.41867,64.10346,63.18514
160.5,64.8727,64.84443,64.72598,64.38395,64.32725,64.10774,63.04617
161,64.81453,64.78212,64.6545,64.34424,64.27652,63.94363,62.98027
161.5,64.70389,64.69214,64.57024,64.22453,64.20639,63.80257,62.93215
162,64.64795,64.60453,64.50558,64.17084,64.06112,63.78193,62.94433
162.5,64.57285,64.55283,64.42565,64.11361,64.03968,63.68521,62.91876
163,64.47858,64.47279,64.37337,64.03317,63.94089,63.71012,62.87251
163.5,64.42599,64.39082,64.28061,63.93958,63.88837,63.64452,62.7713
164,64.34483,64.32297,64.20771,63.75834,63.77944,63.42219,62.68713
164.5,64.26377,64.25498,64.13353,63.79835,63.61355,63.45853,62.69569
165,64.19202,64.17359,64.07164,63.78769,63.58338,63.43547,62.64324
165.5,64.11292,64.08898,63.99391,63.67457,63.57607,63.30994,62.63409
166,64.02771,64.01915,63.92568,63.56869,63.5604,63.26558,62.54219
166.5,63.96625,63.94943,63.86399,63.54782,63.44909,63.20224,62.50065
167,63.88753,63.88769,63.78251,63.53008,63.36523,63.1946,62.38393
167.5,63.83211,63.80655,63.71858,63.43252,63.32575,63.12183,62.27922
168,63.74579,63.74021,63.63158,63.39617,63.31649,63.02854,62.19692
168.5,63.71157,63.65618,63.5558,63.2887,63.2485,62.97111,62.20447
169,63.61978,63.61557,63.48329,63.17297,63.12749,62.95915,62.17275
169.5,63.57643,63.54857,63.43855,63.1594,62.95986,62.89231,62.18007
170,63.59738,63.51329,63.39868,63.11767,62.93696,62.86344,62.14338
170.5,63.66739,63.50594,63.3748,63.0583,62.88011,62.70189,62.12855
171,63.76965,63.54256,63.37767,62.99767,62.86677,62.59809,62.03712
171.5,63.92157,63.60613,63.42472,62.97534,62.85891,62.60813,61.90294
172,64.11066,63.71376,63.49471,62.93035,62.83274,62.59161,61.80809
172.5,64.28362,63.83648,63.56694,62.89628,62.81199,62.51345,61.73083
173,64.42864,63.95581,63.62363,62.89088,62.76297,62.52138,61.74794
173.5,64.53903,64.04258,63.70352,62.85844,62.75463,62.44805,61.75384
174,64.68453,64.12476,63.76574,62.76645,62.76574,62.47179,61.73394
174.5,64.76906,64.20083,63.79935,62.79843,62.79932,62.56324,61.76593
175,64.88742,64.27744,63.88929,62.85367,62.81117,62.65293,61.75527
175.5,65.00781,64.38156,63.94476,62.86876,62.8251,62.65423,61.65046
176,65.0684,64.44812,64.01409,62.93803,62.81539,62.69297,61.66877
